Date,Open,High,Low,Close,Adj Close,Volume
2013-03-04,34.77,35.830002,34.700001,35.580002,35.580002,1757700
2015-11-02,208.919998,215.800003,207.220001,213.789993,213.789993,3927900
2014-04-04,226.009995,228.270004,211.25,212.229996,212.229996,11345600
2015-08-04,260.01001,266.720001,258.339996,266.279999,266.279999,2352500
2016-01-11,214.009995,214.449997,203,207.850006,207.850006,4091400
2011-03-08,24.6,24.959999,24,24.66,24.66,1399900
2019-11-08,334.5,337.459991,332.5,337.140015,337.140015,6069200
2018-05-04,283,296.859985,279.519989,294.089996,294.089996,8569400
2011-10-06,25.370001,27.6,25.02,26.959999,26.959999,1769100
2015-12-28,231.490005,231.979996,225.539993,228.949997,228.949997,1901300
2014-07-11,220.610001,221.600006,217.600006,218.130005,218.130005,3302300
2016-10-18,195.990005,199.470001,193.259995,199.100006,199.100006,5680500
2018-08-08,369.089996,382.640015,367.119995,370.339996,370.339996,24571200
2016-02-18,172.419998,172.949997,164.770004,166.770004,166.770004,3887600
2012-04-16,33.41,33.700001,32.09,32.25,32.25,1099600
2016-06-09,234.979996,235.330002,227.059998,229.360001,229.360001,4492100
2013-07-11,124.879997,126.089996,122.349998,125.610001,125.610001,7483600
2019-12-24,418.359985,425.470001,412.690002,425.25,425.25,8054700
2011-11-21,32.439999,32.439999,31.049999,31.76,31.76,1031600
2011-04-21,25.85,26.98,25.59,26.74,26.74,1386100
2010-07-07,16.4,16.629999,14.98,15.8,15.8,6921700
2018-02-12,316.130005,318.079987,306.25,315.730011,315.730011,6227800
2016-08-23,224.320007,228.490005,222.800003,224.839996,224.839996,4784400
2010-12-09,32.509998,32.720001,31.65,32.049999,32.049999,406000
2015-03-26,193.919998,194.789993,189.699997,190.410004,190.410004,4128000
2017-06-21,374.350006,376.98999,368.019989,376.399994,376.399994,4923200
2013-03-28,38.23,38.240002,37.75,37.889999,37.889999,1158700
2014-11-10,239.110001,242.880005,236.800003,241.929993,241.929993,4577200
2012-05-17,29.299999,29.790001,28.24,28.57,28.57,1149000
2013-12-03,132.679993,144.940002,131.589996,144.699997,144.699997,25682400
2019-08-09,236.050003,238.960007,233.809998,235.009995,235.009995,3898200
2018-05-02,298.570007,306.850006,297.779999,301.149994,301.149994,8970400
2015-11-09,232.990005,232.990005,224.309998,225.330002,225.330002,3850900
2014-01-08,148.850006,153.699997,148.759995,151.279999,151.279999,6163200
2018-05-24,278.399994,281.109985,274.890015,277.850006,277.850006,4176700
2018-10-17,282.399994,282.700012,265.799988,271.779999,271.779999,8655500
2013-02-22,35.720001,36.389999,35.599998,36.110001,36.110001,2547300
2010-09-01,19.620001,20.690001,19.6,20.450001,20.450001,494900
2013-06-04,92.75,96.419998,92.400002,94.839996,94.839996,8856100
2017-10-13,356.980011,358.48999,353.679993,355.570007,355.570007,3540500
2012-12-26,33.959999,34.5,33.5,33.59,33.59,601400
